dimensao,buracos,monstros,taxa_vitoria,morte_buraco,morte_monstro,travamento,score_medio,desvio_padrao
6,8,7,2.00,54.00,43.60,0.40,-893.75,316.96
6,8,8,0.70,47.30,51.50,0.50,-918.99,211.07
8,1,1,100.00,0.00,0.00,0.00,1153.35,10.51
8,1,2,99.90,0.00,0.00,0.10,1147.93,33.95
8,1,3,99.60,0.00,0.30,0.10,1137.86,121.77
8,1,4,97.90,0.00,1.80,0.30,1103.15,283.69
8,1,5,93.70,0.00,6.00,0.30,1013.93,500.12
8,1,6,88.70,0.10,10.70,0.50,910.99,656.38
8,1,7,77.10,0.00,22.40,0.50,672.01,872.03
8,1,8,67.60,0.10,32.00,0.30,471.52,978.26
8,1,9,49.80,0.00,50.00,0.20,102.02,1045.70
8,1,10,38.00,0.00,61.80,0.20,-145.38,1020.19
8,1,11,26.10,0.30,73.60,0.00,-393.84,924.67
8,1,12,17.60,0.20,82.20,0.00,-575.36,805.40
8,1,13,11.50,0.00,88.50,0.00,-710.86,679.40
8,1,14,8.00,0.10,91.90,0.00,-777.58,578.44
8,1,15,4.70,0.00,95.30,0.00,-850.46,455.95
8,2,1,99.80,0.20,0.00,0.00,1144.73,96.91
8,2,2,99.30,0.50,0.20,0.00,1130.79,178.55
8,2,3,97.90,0.70,0.70,0.70,1105.78,262.08
8,2,4,96.40,0.60,2.60,0.40,1070.58,375.10
8,2,5,91.80,1.10,6.60,0.50,975.68,560.89
8,2,6,84.10,1.80,13.30,0.80,818.91,751.38
8,2,7,72.40,2.50,24.30,0.80,575.36,928.02
8,2,8,58.30,2.50,38.60,0.60,281.29,1029.88
8,2,9,44.70,3.20,51.80,0.30,-6.09,1042.14
8,2,10,32.40,3.10,64.30,0.20,-260.94,982.52
8,2,11,24.70,3.60,71.70,0.00,-428.52,910.42
8,2,12,14.60,4.30,81.00,0.10,-637.54,748.03
8,2,13,9.90,3.00,87.10,0.00,-739.96,635.40
8,2,14,6.80,2.60,90.60,0.00,-811.01,539.70
8,2,15,4.00,2.30,93.70,0.00,-866.25,423.99
8,3,1,98.30,1.70,0.00,0.00,1107.35,277.23
8,3,2,98.30,1.30,0.40,0.00,1106.73,271.54
8,3,3,97.00,2.20,0.60,0.20,1080.05,352.76
8,3,4,94.00,2.50,3.00,0.50,1020.08,483.89
8,3,5,86.10,3.10,10.20,0.60,856.18,716.08
8,3,6,75.60,5.30,18.30,0.80,641.82,888.19
8,3,7,66.40,5.80,27.20,0.60,448.04,984.09
8,3,8,51.00,7.50,40.20,1.30,135.68,1040.02
8,3,9,36.80,8.30,54.70,0.20,-171.85,1012.18
8,3,10,22.90,7.60,69.30,0.20,-466.62,888.41
8,3,11,16.90,8.80,74.30,0.00,-591.43,790.88
8,3,12,11.20,7.90,80.90,0.00,-719.10,670.98
8,3,13,8.50,7.40,84.10,0.00,-770.90,594.13
8,3,14,5.00,7.30,87.70,0.00,-845.54,468.41
8,3,15,3.00,7.40,89.60,0.00,-889.29,371.28
8,4,1,96.60,3.40,0.00,0.00,1069.45,382.39
8,4,2,95.80,3.70,0.10,0.40,1057.55,402.31
8,4,3,93.80,3.90,1.80,0.50,1015.39,492.29
8,4,4,86.20,7.50,5.20,1.10,861.04,707.44
8,4,5,78.40,9.30,11.70,0.60,695.65,858.21
8,4,6,65.60,11.50,22.20,0.70,432.93,987.11
8,4,7,52.00,12.70,34.30,1.00,150.84,1042.09
8,4,8,41.10,14.70,43.30,0.90,-77.70,1031.07
8,4,9,29.30,12.90,57.40,0.40,-326.47,956.41
8,4,10,20.60,15.30,63.80,0.30,-512.72,853.99
8,4,11,14.00,13.90,72.10,0.00,-648.91,733.63
8,4,12,8.70,12.90,78.40,0.00,-770.45,601.48
8,4,13,5.60,13.50,80.90,0.00,-833.48,492.13
8,4,14,3.30,12.00,84.70,0.00,-885.08,387.88
8,4,15,2.30,11.20,86.50,0.00,-900.92,328.90
8,5,1,92.40,7.60,0.00,0.00,981.35,553.15
8,5,2,90.00,9.30,0.70,0.00,930.10,633.30
8,5,3,83.40,12.80,2.90,0.90,802.74,766.43
8,5,4,78.50,12.90,7.80,0.80,700.99,850.41
8,5,5,66.50,17.60,15.20,0.70,448.80,985.68
8,5,6,54.60,20.40,24.50,0.50,197.61,1042.45
8,5,7,42.30,21.30,35.80,0.60,-54.16,1032.52
8,5,8,31.20,21.00,47.20,0.60,-289.54,974.44
8,5,9,22.20,20.80,56.70,0.30,-476.11,875.35
8,5,10,12.60,22.20,64.90,0.30,-675.22,703.02
8,5,11,9.20,18.60,72.10,0.10,-754.99,615.16
8,5,12,5.10,17.30,77.60,0.00,-840.68,471.66
8,5,13,4.40,14.40,81.20,0.00,-856.43,441.70
8,5,14,1.60,15.90,82.50,0.00,-918.65,279.55
8,5,15,1.80,14.70,83.40,0.10,-913.02,297.01
8,6,1,83.30,16.70,0.00,0.00,789.74,785.64
8,6,2,77.50,20.70,1.60,0.20,670.50,876.83
8,6,3,73.70,20.50,4.90,0.90,600.43,912.93
8,6,4,64.30,26.60,8.70,0.40,399.07,1005.09
8,6,5,54.60,29.10,15.30,1.00,201.57,1038.97
8,6,6,42.60,31.40,25.30,0.70,-50.83,1038.46
8,6,7,32.60,37.00,30.20,0.20,-261.47,984.08
8,6,8,21.80,32.40,45.60,0.20,-487.66,870.08
8,6,9,16.90,30.10,52.90,0.10,-596.11,792.92
8,6,10,11.00,29.40,59.60,0.00,-721.68,665.13
8,6,11,7.00,27.40,65.60,0.00,-803.75,545.10
8,6,12,3.90,24.80,71.30,0.00,-866.89,417.64
8,6,13,3.20,23.40,73.40,0.00,-891.53,383.17
8,6,14,1.50,23.60,74.90,0.00,-923.32,271.39
8,6,15,0.90,20.50,78.60,0.00,-941.50,217.09
8,7,1,70.00,29.90,0.00,0.10,513.11,962.00
8,7,2,65.70,32.50,1.60,0.20,425.62,995.53
8,7,3,58.10,37.30,4.30,0.30,271.10,1031.58
8,7,4,49.20,39.10,11.20,0.50,86.78,1046.58
8,7,5,44.80,38.90,16.10,0.20,-12.55,1046.30
8,7,6,31.90,40.10,27.40,0.60,-273.01,978.22
8,7,7,22.90,40.30,36.60,0.20,-468.71,887.54
8,7,8,14.60,43.00,42.20,0.20,-638.94,746.86
8,7,9,9.20,38.70,52.10,0.00,-756.08,614.35
8,7,10,7.10,36.60,56.30,0.00,-800.28,547.20
8,7,11,4.50,32.50,63.00,0.00,-860.69,446.27
8,7,12,2.70,31.90,65.40,0.00,-897.51,353.45
8,7,13,2.40,26.50,71.10,0.00,-905.09,335.38
8,7,14,0.70,27.30,72.00,0.00,-942.44,196.09
8,7,15,0.90,22.50,76.60,0.00,-934.12,217.25
8,8,1,55.50,44.50,0.00,0.00,207.91,1047.70
8,8,2,53.90,43.90,2.00,0.20,176.60,1050.24
8,8,3,46.30,47.20,6.50,0.00,14.93,1052.72
8,8,4,39.00,49.20,11.40,0.40,-131.79,1027.76
8,8,5,29.90,51.20,18.70,0.20,-320.69,965.36
8,8,6,20.40,50.90,28.30,0.40,-518.67,851.26
8,8,7,15.90,50.00,34.10,0.00,-619.94,775.44
8,8,8,11.10,44.20,44.50,0.20,-713.08,666.77
8,8,9,7.70,41.50,50.70,0.10,-787.11,569.42
8,8,10,4.70,41.20,54.10,0.00,-851.23,454.95
8,8,11,2.90,38.60,58.50,0.00,-896.10,365.20
8,8,12,1.30,35.80,62.90,0.00,-929.97,254.91
8,8,13,1.20,29.10,69.70,0.00,-931.54,245.46
8,8,14,1.30,31.60,67.10,0.00,-926.87,254.96
8,8,15,0.30,28.50,71.20,0.00,-959.63,140.35
8,9,1,44.00,56.00,0.00,0.00,-30.50,1045.77
8,9,2,38.10,59.80,2.10,0.00,-154.66,1025.49
8,9,3,34.70,58.80,6.30,0.20,-224.79,1006.74
8,9,4,26.00,62.90,10.70,0.40,-395.77,922.72
8,9,5,21.20,62.80,15.60,0.40,-502.95,864.59
8,9,6,13.70,59.40,26.80,0.10,-658.96,728.97
8,9,7,10.70,55.40,33.90,0.00,-722.52,655.52
8,9,8,7.70,52.70,39.60,0.00,-791.98,568.98
8,9,9,6.20,47.00,46.70,0.10,-820.68,517.61
8,9,10,3.80,45.70,50.50,0.00,-877.03,413.83
8,9,11,1.40,42.40,56.20,0.00,-924.96,263.16
8,9,12,1.20,39.50,59.30,0.00,-931.04,245.66
8,9,13,0.60,36.40,63.00,0.00,-948.33,183.24
8,9,14,0.60,32.90,66.50,0.00,-946.66,183.71
8,9,15,0.50,34.60,64.90,0.00,-948.48,171.41
8,10,1,31.50,68.50,0.00,0.00,-294.50,981.13
8,10,2,26.30,71.40,2.30,0.00,-401.18,931.10
8,10,3,23.60,69.30,7.00,0.10,-453.57,896.63
8,10,4,16.40,70.00,13.40,0.20,-608.40,786.77
8,10,5,13.90,68.20,17.90,0.00,-662.29,734.14
8,10,6,9.60,62.80,27.60,0.00,-748.87,626.50
8,10,7,7.30,58.40,34.20,0.10,-799.88,556.29
8,10,8,3.80,58.60,37.50,0.10,-873.60,414.63
8,10,9,3.90,52.70,43.40,0.00,-871.88,418.79
8,10,10,2.80,49.70,47.50,0.00,-892.77,359.81
8,10,11,1.40,44.70,53.90,0.00,-929.58,262.37
8,10,12,0.70,43.40,55.90,0.00,-945.62,195.86
8,10,13,0.60,36.30,63.10,0.00,-949.03,183.08
8,10,14,0.80,36.30,62.90,0.00,-943.07,206.60
8,10,15,0.10,31.80,68.10,0.00,-953.86,107.63
8,11,1,23.40,76.60,0.00,0.00,-464.47,896.17
8,11,2,21.00,77.40,1.60,0.00,-511.53,862.36
8,11,3,15.70,78.50,5.80,0.00,-627.31,772.67
8,11,4,14.30,75.80,9.80,0.10,-649.94,743.69
8,11,5,9.80,73.60,16.50,0.10,-741.43,632.88
8,11,6,7.60,69.70,22.60,0.10,-788.48,566.03
8,11,7,5.50,64.90,29.60,0.00,-837.78,489.42
8,11,8,3.30,64.90,31.80,0.00,-884.95,388.19
8,11,9,2.90,56.70,40.40,0.00,-894.78,365.21
8,11,10,1.10,56.90,42.00,0.00,-932.63,236.86
8,11,11,1.00,51.10,47.90,0.00,-931.91,227.94
8,11,12,0.90,47.40,51.70,0.00,-937.45,216.77
8,11,13,0.50,41.60,57.90,0.00,-948.43,170.95
8,11,14,0.40,39.60,59.90,0.10,-953.12,159.13
8,11,15,0.10,35.40,64.50,0.00,-955.59,106.37
8,12,1,13.50,86.50,0.00,0.00,-674.53,727.70
8,12,2,13.20,85.50,1.30,0.00,-676.10,719.13
8,12,3,10.40,84.60,5.00,0.00,-734.16,650.36
8,12,4,8.40,81.00,10.60,0.00,-776.90,591.92
8,12,5,6.10,79.10,14.80,0.00,-825.20,513.49
8,12,6,3.80,72.50,23.70,0.00,-873.93,413.72
8,12,7,2.60,70.30,27.10,0.00,-897.96,348.09
8,12,8,1.70,65.00,33.30,0.00,-925.53,287.12
8,12,9,1.90,61.60,36.50,0.00,-917.94,301.75
8,12,10,0.30,59.10,40.50,0.10,-953.90,144.98
8,12,11,0.70,55.40,43.90,0.00,-944.47,195.23
8,12,12,0.60,52.00,47.40,0.00,-948.39,182.77
8,12,13,0.50,44.60,54.90,0.00,-948.11,171.11
8,12,14,0.10,41.60,58.30,0.00,-955.71,105.45
8,12,15,0.10,40.40,59.40,0.10,-956.88,110.46
8,13,1,10.00,90.00,0.00,0.00,-750.54,641.77
8,13,2,6.90,91.00,2.10,0.00,-813.62,543.05
8,13,3,6.80,87.10,6.10,0.00,-812.05,538.86
8,13,4,4.20,86.10,9.70,0.00,-868.36,433.35
8,13,5,4.90,81.60,13.50,0.00,-855.64,465.01
8,13,6,3.30,76.30,20.40,0.00,-883.43,387.65
8,13,7,2.10,76.70,21.20,0.00,-915.52,315.83
8,13,8,0.80,70.20,29.00,0.00,-940.66,206.86
8,13,9,0.70,60.70,38.60,0.00,-945.37,195.44
8,13,10,1.00,62.30,36.70,0.00,-939.57,227.03
8,13,11,0.20,60.30,39.50,0.00,-956.88,125.49
8,13,12,0.60,53.00,46.40,0.00,-948.99,183.33
8,13,13,0.20,48.10,51.70,0.00,-951.33,126.90
8,13,14,0.30,45.70,54.00,0.00,-953.82,141.68
8,13,15,0.00,43.30,56.70,0.00,-960.72,79.64
8,14,1,8.70,91.30,0.00,0.00,-777.95,603.31
8,14,2,7.50,91.10,1.40,0.00,-795.62,563.10
8,14,3,4.10,90.50,5.40,0.00,-868.93,428.67
8,14,4,3.90,86.50,9.60,0.00,-875.41,419.37
8,14,5,3.40,81.50,15.10,0.00,-888.93,393.02
8,14,6,1.60,78.10,20.30,0.00,-935.16,278.76
8,14,7,2.30,75.70,21.90,0.10,-913.90,330.79
8,14,8,0.70,72.80,26.50,0.00,-945.51,196.36
8,14,9,0.30,62.80,36.80,0.10,-951.55,147.14
8,14,10,0.50,62.70,36.80,0.00,-950.50,170.84
8,14,11,0.40,55.80,43.70,0.10,-950.81,161.28
8,14,12,0.30,54.20,45.50,0.00,-952.91,142.36
8,14,13,0.00,51.50,48.50,0.00,-963.62,78.37
8,14,14,0.20,47.00,52.80,0.00,-957.90,123.83
8,14,15,0.00,43.50,56.50,0.00,-959.68,80.58
8,15,1,4.00,96.00,0.00,0.00,-881.87,425.14
8,15,2,2.70,95.60,1.70,0.00,-902.79,354.45
8,15,3,2.50,92.80,4.70,0.00,-906.23,342.02
8,15,4,2.70,89.20,8.10,0.00,-903.97,354.64
8,15,5,1.40,85.80,12.80,0.00,-928.44,263.47
8,15,6,1.10,81.00,17.90,0.00,-936.81,237.11
8,15,7,1.10,76.80,22.10,0.00,-940.55,236.48
8,15,8,0.20,72.40,27.40,0.00,-951.80,127.37
8,15,9,0.60,66.60,32.80,0.00,-948.61,183.63
8,15,10,0.60,66.90,32.50,0.00,-946.47,183.63
8,15,11,0.10,63.30,36.60,0.00,-958.28,105.24
8,15,12,0.10,56.40,43.50,0.00,-954.03,107.56
8,15,13,0.10,52.10,47.70,0.10,-956.43,109.50
8,15,14,0.00,50.20,49.70,0.10,-957.54,88.80
8,15,15,0.00,48.20,51.80,0.00,-961.14,78.94
10,1,1,100.00,0.00,0.00,0.00,1127.76,16.76
10,1,2,100.00,0.00,0.00,0.00,1119.49,15.16
10,1,3,100.00,0.00,0.00,0.00,1112.95,14.74
10,1,4,99.20,0.00,0.70,0.10,1093.41,176.33
10,1,5,98.20,0.00,1.60,0.20,1070.01,263.71
10,1,6,97.50,0.00,2.00,0.50,1056.44,303.42
10,1,7,95.00,0.00,4.60,0.40,1003.64,438.44
10,1,8,90.90,0.00,8.70,0.40,919.03,586.42
10,1,9,84.00,0.00,15.20,0.80,779.84,749.63
10,1,10,76.30,0.00,23.20,0.50,616.90,881.79
10,1,11,68.10,0.00,31.70,0.20,449.58,964.78
10,1,12,57.40,0.00,42.40,0.20,228.32,1029.75
10,1,13,47.90,0.10,51.90,0.10,27.85,1043.60
10,1,14,37.00,0.00,62.90,0.10,-196.38,1010.81
10,1,15,32.50,0.00,67.40,0.10,-290.43,984.10
10,1,16,25.60,0.00,74.40,0.00,-428.48,915.00
10,1,17,19.10,0.00,80.90,0.00,-569.25,829.49
10,1,18,11.50,0.00,88.50,0.00,-725.58,673.17
10,1,19,10.20,0.00,89.80,0.00,-750.39,641.02
10,1,20,8.70,0.00,91.30,0.00,-782.03,597.74
10,1,21,4.00,0.00,96.00,0.00,-884.05,421.34
10,1,22,3.00,0.00,97.00,0.00,-906.71,368.82
10,1,23,2.00,0.00,98.00,0.00,-934.80,306.44
10,1,24,1.60,0.00,98.40,0.00,-934.22,276.30
10,2,1,99.70,0.30,0.00,0.00,1113.05,117.19
10,2,2,100.00,0.00,0.00,0.00,1113.98,14.50
10,2,3,99.40,0.00,0.40,0.20,1098.79,141.66
10,2,4,99.30,0.30,0.40,0.00,1091.48,175.47
10,2,5,98.10,0.50,1.00,0.40,1068.39,258.99
10,2,6,96.90,0.30,2.70,0.10,1038.64,354.60
10,2,7,94.50,0.40,4.80,0.30,990.52,465.34
10,2,8,88.50,0.00,10.70,0.80,873.88,642.17
10,2,9,81.70,0.50,17.30,0.50,729.09,798.68
10,2,10,73.90,1.10,24.40,0.60,569.67,906.96
10,2,11,60.20,1.40,38.20,0.20,283.96,1018.32
10,2,12,51.40,1.40,47.10,0.10,100.69,1042.10
10,2,13,43.00,1.30,55.70,0.00,-79.25,1037.82
10,2,14,37.20,1.80,61.00,0.00,-194.12,1013.78
10,2,15,23.90,1.70,74.40,0.00,-472.63,897.86
10,2,16,19.30,1.50,79.20,0.00,-563.82,829.87
10,2,17,16.90,1.70,81.40,0.00,-614.24,790.47
10,2,18,10.80,1.10,88.10,0.00,-743.11,657.27
10,2,19,7.90,1.60,90.50,0.00,-798.20,571.55
10,2,20,6.10,1.90,92.00,0.00,-844.09,511.33
10,2,21,3.80,2.10,94.10,0.00,-892.94,411.60
10,2,22,3.20,2.10,94.70,0.00,-901.88,379.75
10,2,23,1.60,1.40,97.00,0.00,-939.89,276.54
10,2,24,1.10,1.10,97.80,0.00,-945.18,233.57
10,3,1,99.40,0.60,0.00,0.00,1100.88,164.61
10,3,2,99.00,0.70,0.20,0.10,1088.84,202.75
10,3,3,98.60,0.70,0.40,0.30,1079.19,225.55
10,3,4,97.80,0.40,1.40,0.40,1060.40,285.47
10,3,5,97.60,0.40,1.80,0.20,1052.87,307.10
10,3,6,93.70,1.50,3.90,0.90,979.30,480.19
10,3,7,91.20,1.70,6.70,0.40,923.95,576.69
10,3,8,86.10,2.20,11.30,0.40,816.49,711.91
10,3,9,77.60,1.90,20.20,0.30,640.84,863.33
10,3,10,68.20,3.90,27.60,0.30,445.72,969.07
10,3,11,58.30,4.40,37.00,0.30,246.42,1021.43
10,3,12,48.60,3.20,47.90,0.30,40.60,1043.64
10,3,13,35.40,5.20,59.40,0.00,-231.66,998.53
10,3,14,28.90,4.70,66.30,0.10,-368.26,951.32
10,3,15,23.20,4.00,72.80,0.00,-485.27,885.42
10,3,16,18.30,4.10,77.50,0.10,-583.50,812.77
10,3,17,12.70,3.40,83.90,0.00,-699.78,701.80
10,3,18,7.90,4.00,88.10,0.00,-804.90,573.13
10,3,19,6.00,4.60,89.40,0.00,-839.90,506.65
10,3,20,3.70,4.20,92.10,0.00,-891.64,405.62
10,3,21,3.00,4.80,92.20,0.00,-906.74,368.43
10,3,22,2.10,4.30,93.60,0.00,-922.12,313.51
10,3,23,1.50,2.10,96.40,0.00,-940.31,267.95
10,3,24,0.70,3.10,96.20,0.00,-958.54,192.77
10,4,1,98.90,1.10,0.00,0.00,1084.69,220.14
10,4,2,99.00,0.70,0.30,0.00,1084.25,206.89
10,4,3,97.80,1.40,0.60,0.20,1058.95,295.70
10,4,4,97.80,1.10,0.90,0.20,1057.49,295.02
10,4,5,95.10,2.00,2.60,0.30,1001.19,439.96
10,4,6,90.70,3.50,5.30,0.50,911.33,592.66
10,4,7,87.90,2.70,8.70,0.70,854.75,666.24
10,4,8,83.30,3.70,12.40,0.60,760.79,767.50
10,4,9,69.90,4.60,25.10,0.40,482.92,949.51
10,4,10,60.40,6.30,32.70,0.60,287.33,1018.08
10,4,11,48.30,6.80,44.40,0.50,37.35,1041.02
10,4,12,43.10,6.70,50.10,0.10,-73.49,1032.50
10,4,13,33.00,7.90,59.10,0.00,-283.57,984.18
10,4,14,25.50,7.20,67.30,0.00,-438.68,913.25
10,4,15,16.90,7.50,75.60,0.00,-615.60,788.46
10,4,16,13.80,8.20,78.00,0.00,-677.14,726.04
10,4,17,10.00,8.40,81.60,0.00,-756.88,633.74
10,4,18,7.20,8.70,84.10,0.00,-815.28,548.60
10,4,19,6.00,7.30,86.70,0.00,-842.32,506.41
10,4,20,3.70,6.80,89.50,0.00,-892.00,405.11
10,4,21,2.90,5.70,91.40,0.00,-908.38,362.54
10,4,22,1.50,6.80,91.70,0.00,-942.25,269.38
10,4,23,1.70,5.10,93.20,0.00,-936.14,284.81
10,4,24,1.20,5.50,93.30,0.00,-946.95,244.37
10,5,1,96.70,3.30,0.00,0.00,1033.36,376.05
10,5,2,96.70,2.90,0.30,0.10,1033.89,370.26
10,5,3,97.20,2.00,0.50,0.30,1043.44,332.08
10,5,4,95.00,3.40,1.20,0.40,1001.18,438.66
10,5,5,91.60,3.60,4.00,0.80,933.37,556.37
10,5,6,85.60,5.70,8.10,0.60,806.86,720.49
10,5,7,82.60,6.20,11.00,0.20,741.24,787.09
10,5,8,74.70,6.70,17.90,0.70,584.81,895.13
10,5,9,66.70,7.20,25.40,0.70,417.53,976.05
10,5,10,55.60,10.80,33.10,0.50,187.19,1033.73
10,5,11,43.20,12.30,44.10,0.40,-72.40,1035.18
10,5,12,35.00,12.00,52.90,0.10,-242.04,999.16
10,5,13,28.40,11.30,60.30,0.00,-376.82,940.97
10,5,14,20.40,12.20,67.30,0.10,-544.67,847.65
10,5,15,15.20,12.10,72.70,0.00,-652.11,756.01
10,5,16,10.70,12.70,76.60,0.00,-744.25,652.37
10,5,17,7.10,11.60,81.30,0.00,-816.31,545.13
10,5,18,6.00,10.80,83.20,0.00,-842.63,506.38
10,5,19,3.80,10.30,85.90,0.00,-891.17,409.84
10,5,20,3.80,10.40,85.80,0.00,-892.73,410.89
10,5,21,1.30,7.00,91.70,0.00,-941.44,251.52
10,5,22,1.20,10.50,88.30,0.00,-946.00,242.46
10,5,23,0.80,9.50,89.70,0.00,-954.01,204.02
10,5,24,0.60,9.10,90.30,0.00,-960.33,180.77
10,6,1,95.80,4.20,0.00,0.00,1013.73,419.13
10,6,2,96.10,3.70,0.20,0.00,1019.45,402.24
10,6,3,92.20,6.60,1.00,0.20,940.08,553.07
10,6,4,90.70,6.90,2.20,0.20,908.29,600.60
10,6,5,87.80,7.50,4.00,0.70,853.62,667.35
10,6,6,80.90,9.30,9.10,0.70,711.99,807.73
